code_muni,uf,municipality,adoption_year,resolution
1200054,AC,Assis Brasil,2026,Nº 26 - 26/07/2026
1200203,AC,Cruzeiro do Sul,2024,Nº 4 - 07/05/2024
1200302,AC,Feijó,2026,Nº 26 - 26/07/2026
1200336,AC,Mâncio Lima,2026,Nº 19 - 26/02/2026
1200385,AC,Plácido de Castro,2024,Nº 4 - 07/05/2024
1200401,AC,Rio Branco,2014,Nº 8 - 27/11/2014
1200427,AC,Rodrigues Alves,2025,Nº 14 - 16/10/2025
2700102,AL,Água Branca,2024,Nº 6 - 29/05/2024
2700300,AL,Arapiraca,2024,Nº 4 - 07/05/2024
2700409,AL,Atalaia,2025,Nº 4 - 20/03/2025
2700706,AL,Batalha,2024,Nº 7 - 21/06/2024
2700904,AL,Belo Monte,2024,Nº 9 - 20/08/2024
2701001,AL,Boca da Mata,2024,Nº 7 - 21/06/2024
2701100,AL,Branquinha,2024,Nº 7 - 21/06/2024
2701209,AL,Cacimbinhas,2025,Nº 4 - 20/03/2025
2701308,AL,Cajueiro,2025,Nº 17 - 31/12/2025
2701357,AL,Campestre,2025,Nº 14 - 16/10/2025
2701407,AL,Campo Alegre,2024,Nº 4 - 07/05/2024
2701704,AL,Capela,2024,Nº 7 - 21/06/2024
2701803,AL,Carneiros,2026,Nº 23 - 26/05/2026
2701902,AL,Chã Preta,2025,Nº 3 - 28/02/2025
2702108,AL,Colônia Leopoldina,2024,Nº 9 - 20/08/2024
2702207,AL,Coqueiro Seco,2024,Nº 7 - 21/06/2024
2702306,AL,Coruripe,2024,Nº 9 - 20/08/2024
2702355,AL,Craíbas,2024,Nº 7 - 21/06/2024
2702405,AL,Delmiro Gouveia,2025,Nº 3 - 28/02/2025
2702553,AL,Estrela de Alagoas,2024,Nº 2 - 08/03/2024
2702603,AL,Feira Grande,2025,Nº 9 - 30/06/2025
2702801,AL,Flexeiras,2024,Nº 4 - 07/05/2024
2703007,AL,Ibateguara,2026,Nº 23 - 26/05/2026
2703106,AL,Igaci,2025,Nº 14 - 16/10/2025
2703205,AL,Igreja Nova,2024,Nº 7 - 21/06/2024
2703304,AL,Inhapi,2025,Nº 17 - 31/12/2025
2703403,AL,Jacaré dos Homens,2024,Nº 7 - 21/06/2024
2703502,AL,Jacuípe,2025,Nº 7 - 28/04/2025
2703759,AL,Jequiá da Praia,2024,Nº 8 - 03/07/2024
2703809,AL,Joaquim Gomes,2026,Nº 23 - 26/05/2026
2703908,AL,Jundiá,2025,Nº 4 - 20/03/2025
2704005,AL,Junqueiro,2024,Nº 2 - 08/03/2024
2704104,AL,Lagoa da Canoa,2024,Nº 2 - 08/03/2024
2704203,AL,Limoeiro de Anadia,2024,Nº 7 - 21/06/2024
2704302,AL,Maceió,2024,Nº 4 - 07/05/2024
2704401,AL,Major Isidoro,2026,Nº 21 - 30/03/2026
2704500,AL,Maragogi,2026,Nº 19 - 26/02/2026
2704609,AL,Maravilha,2024,Nº 8 - 03/07/2024
2704807,AL,Maribondo,2026,N° 28 - 26/08/2026
2705101,AL,Matriz de Camaragibe,2024,Nº 7 - 21/06/2024
2705309,AL,Minador do Negrão,2024,Nº 2 - 08/03/2024
2705408,AL,Monteirópolis,2026,Nº 19 - 26/02/2026
2705507,AL,Murici,2024,Nº 5 - 09/05/2024
2705606,AL,Novo Lino,2024,Nº 4 - 07/05/2024
2705705,AL,Olho d'Água das Flores,2024,Nº 7 - 21/06/2024
2706000,AL,Olivença,2024,Nº 7 - 21/06/2024
2706208,AL,Palestina,2024,Nº 7 - 21/06/2024
2706307,AL,Palmeira dos Índios,2024,Nº 2 - 08/03/2024
