file,source,downloaded_utc,role,sha256
municipios_aderidos_sisan.pdf,https://www.gov.br/mds/pt-br/Sisan/lista-atualizada_2467.pdf,2026-08-28,treatment,b36f00fd9741fab11d175f361c5a3e9dfeb45262bf657dac0edde374f2d8ed3a
sisan_adoptions.csv,derived from municipios_aderidos_sisan.pdf,2026-08-28,derived treatment,c299ec438a7b3d7accd561eaf125f2eaa2abdcefe3fce75d163c5e369373900b
atlas_2010_covariates.csv,https://github.com/mauriciocramos/IDHM/blob/f960e9725c68aec633d704e527855b37fd911c82/municipal.csv,2026-08-28,covariates,f311ce2fc052d261a0c4ed84bead290ada0c96aa253425efdcbc08b840e7267b
fnde/pnae_af_2011.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,archived outcome not analyzed,d6aac8d7b919f302e7cc3865cc96d6d122b9123aef61440240593acf3b0f6d76
fnde/pnae_af_2012.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,archived outcome not analyzed,fdbbbb2bc5f882b2056859d4b36d55270f52928223ccc1520678327088770fe0
fnde/pnae_af_2013.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,archived outcome not analyzed,bbc7b47f60d094c9937efa1955787ff7027b3f50f617d5c0269ce76efa69aa76
fnde/pnae_af_2014.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,outcome,35811780dd70363391d093a670340eac24e7145ab8dce8dc2473a866f2db736a
fnde/pnae_af_2015.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,outcome,bc15b8630deef53dcea07a245a017bffebcf2a931046c655cae0620d75773d5c
fnde/pnae_af_2016.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,outcome,9aaed62b824b4434b5cac6c19cca0ff2343e8aa1111e405ee0066823f1647546
fnde/pnae_af_2017.xls,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,outcome,8fb0c193dc71d832dfc4f49d0d095a1300382d41e0dd43a785fd34a807dbe639
fnde/pnae_af_2018.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,outcome,2ced727f4cf481f198f4cc07523df294725046da330657eada523d246a6ff413
fnde/pnae_af_2019.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,outcome,fafdb932128385c643792e221831937c7ffa3416ebf4b7a66578cbd58799a9be
fnde/pnae_af_2020.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,outcome,95fd09b793c3e813d90d40e9177b7aff5bb9f6f16997235d37c2b21665d559a6
fnde/pnae_af_2021.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,outcome,47336271d80a50f6a6f86eecb2efc8e8247b4f4e2b5cb44da37e0be1a76325ad
fnde/pnae_af_2022.xlsx,https://www.gov.br/fnde/pt-br/acesso-a-informacao/acoes-e-programas/programas/pnae/consultas/pnae-dados-da-agricultura-familiar,2026-08-28,outcome,cb1ab8b2be50822a3c57d16bf92b5726857b85c1530915732ea816b5a03c2326
