code_muni,uf,municipality,adoption_year,population_2010,population_class,log_population_2010,rural_share_2010,extreme_poverty_pct_2010,vulnerable_poverty_pct_2010,income_pc_2010,agricultural_employment_pct_2010,adult_illiteracy_pct_2010,public_sector_employment_pct_2010,idhm_2010,treated,eligible_control,af_share_t-2,af_share_t-1,af_share_t1,af_share_t2,af_share_t3,af_share_observed_t-2,af_share_observed_t-1,af_share_observed_t1,af_share_observed_t2,af_share_observed_t3,compliant_30_t-2,compliant_30_t-1,compliant_30_t1,compliant_30_t2,compliant_30_t3,pnae_record_observed_t-2,pnae_record_observed_t-1,pnae_record_observed_t1,pnae_record_observed_t2,pnae_record_observed_t3,cohort,pre_2,pre_1,pre_average,pre_trend,post_average,post_compliance,observed_all_pre,observed_all_post,distance,weights,subclass
1701309,TO,ARAGOMINAS,2016,5882,ate_20_mil,8.67965211911394,62.087725263515814,17.63,54.79,357.45,61.04,25.75,11.27,0.593,1,FALSE,0,2.761818593078489,14.211862495392857,8.25,16.4,0,2.761818593078489,14.211862495392857,8.25,16.4,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,0,2.761818593078489,1.3809092965392444,2.761818593078489,12.953954165130952,0,TRUE,TRUE,0.008010010516434981,1,1
1702406,TO,ARRAIAS,,10645,ate_20_mil,9.27284557732758,30.75622357914514,18.32,55.98,418.64,31.2,22.83,24.94,0.651,0,TRUE,14.138387781966133,11.433547676774776,4.3460715267896655,7.369999999999999,15.4,14.138387781966133,11.433547676774776,4.3460715267896655,7.369999999999999,15.4,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,14.138387781966133,11.433547676774776,12.785967729370455,-2.704840105191357,9.03869050892989,0,TRUE,TRUE,0.0038097258427957316,1,2
1703842,TO,CAMPOS LINDOS,2016,8139,ate_20_mil,9.004422601327041,40.79125199655977,31.11,74.47,292.64,46.88,23.42,9.06,0.544,1,FALSE,0,0,0,0,7.3999999999999995,0,,0,,7.3999999999999995,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,2016,0,0,0,0,2.4666666666666663,0,FALSE,FALSE,0.0026528677717516705,1,2
1708304,TO,GOIANORTE,,4956,ate_20_mil,8.508354242749032,44.30992736077482,15.9,61,329.64,54.06,17.96,14.62,0.621,0,TRUE,4.625958234205657,6.718528995756719,0,0,18.4,4.625958234205657,6.718528995756719,0,,18.4,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,2016,4.625958234205657,6.718528995756719,5.672243614981188,2.0925707615510616,6.133333333333333,0,TRUE,FALSE,0.005389398914530501,1,1
1709005,TO,GOIATINS,2016,12064,ate_20_mil,9.397981090247738,58.97712201591512,37.47,71.93,232.19,41.97,27.64,17.84,0.576,1,FALSE,6.264993947397381,1.1651043579629836,4.199530350041187,10.57,42.3,6.264993947397381,1.1651043579629836,4.199530350041187,10.57,42.3,0,0,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,6.264993947397381,1.1651043579629836,3.715049152680182,-5.099889589434397,19.02317678334706,0.3333333333333333,TRUE,TRUE,0.003260731768435352,1,3
1711506,TO,JAÚ DO TOCANTINS,2016,3507,ate_20_mil,8.162516250140179,62.64613629883091,12.84,52.64,523.53,50.35,14.22,13.08,0.662,1,FALSE,39.759741479727964,26.48085419734904,21.902315991842823,35.67,31.6,39.759741479727964,26.48085419734904,21.902315991842823,35.67,31.6,1,0,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,39.759741479727964,26.48085419734904,33.120297838538505,-13.278887282378925,29.724105330614275,0.6666666666666666,TRUE,TRUE,0.008884330394191857,1,4
1713304,TO,MIRANORTE,2024,12623,ate_20_mil,9.443275825752862,12.572288679394756,8.31,46.55,410.45,23.21,14.73,10.16,0.662,0,TRUE,17.080771427611463,23.28134224761054,5.93088028372622,31.16,32,17.080771427611463,23.28134224761054,5.93088028372622,31.16,32,0,0,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,17.080771427611463,23.28134224761054,20.181056837611003,6.200570819999076,23.030293427908738,0.6666666666666666,TRUE,TRUE,0.009203750786326162,1,5
1714302,TO,NAZARÉ,2024,4386,ate_20_mil,8.386172928977834,54.60556315549476,17.81,62.75,302.39,44.86,22.47,15.38,0.643,0,TRUE,26.7283985630554,30.003902321277707,0,24.320000000000004,30,26.7283985630554,30.003902321277707,0,24.320000000000004,30,0,1,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,26.7283985630554,30.003902321277707,28.366150442166553,3.2755037582223068,18.10666666666667,0.3333333333333333,TRUE,TRUE,0.009508917441681456,1,4
1715754,TO,PALMEIRÓPOLIS,2016,7339,ate_20_mil,8.900957872545062,18.503883362855976,7.71,46.49,463.45,29.28,14.22,7.68,0.673,1,FALSE,21.396528419395683,21.38877561888532,24.724125247445293,36.49,59,21.396528419395683,21.38877561888532,24.724125247445293,36.49,59,0,0,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,21.396528419395683,21.38877561888532,21.3926520191405,-0.007752800510363755,40.071375082481765,0.6666666666666666,TRUE,TRUE,0.012115643663840646,1,5
1716208,TO,PARANÃ,2025,10338,ate_20_mil,9.243581705755984,54.34319984523118,31.89,68.27,311.37,41.66,28.33,20.17,0.595,0,TRUE,0,0,0,16.25,41.2,0,0,0,16.25,41.2,0,0,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,0,0,0,0,19.150000000000002,0.3333333333333333,TRUE,TRUE,0.0035598265434471613,1,3
1720259,TO,SÃO SALVADOR DO TOCANTINS,2016,2910,ate_20_mil,7.975908360165538,45.42955326460481,28.22,64.21,318.39,18.03,20.91,27.97,0.605,1,FALSE,17.833780760626396,14.704942424634496,30.007630051502847,48.64,30.900000000000002,17.833780760626396,14.704942424634496,30.007630051502847,48.64,30.900000000000002,0,0,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,17.833780760626396,14.704942424634496,16.269361592630446,-3.128838335991901,36.515876683834286,1,TRUE,TRUE,6.756979917597601e-4,1,6
1721109,TO,TOCANTÍNIA,2025,6736,ate_20_mil,8.815221555922163,56.1312351543943,32.5,68.93,277.25,19.94,21.78,22.94,0.589,0,TRUE,0,0,33.98623534568286,22.84,19.3,0,0,33.98623534568286,22.84,19.3,0,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,0,0,0,0,25.375411781894286,0.3333333333333333,TRUE,TRUE,0.0010205983336600115,1,6
2100303,MA,ALDEIAS ALTAS,2016,23952,20_a_50_mil,10.08380710665941,43.077822311289246,36.55,82.49,179.92,55.91,40.35,3.48,0.513,1,FALSE,0,0,22.287263078214494,36.26,36.1,0,0,22.287263078214494,36.26,36.1,0,0,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,0,0,0,0,31.549087692738166,0.6666666666666666,TRUE,TRUE,0.010790258095761396,1,7
2101103,MA,AXIXÁ,2025,11407,ate_20_mil,9.341982481027898,58.77093013062155,27.13,75.79,223.51,53.19,18,10.09,0.641,0,TRUE,26.149302197042974,15.780300607611128,3.0594624404515125,36.05,20.5,26.149302197042974,15.780300607611128,3.0594624404515125,36.05,20.5,0,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,26.149302197042974,15.780300607611128,20.96480140232705,-10.369001589431846,19.869820813483837,0.3333333333333333,TRUE,TRUE,0.015789496533628385,1,10
2101202,MA,BACABAL,2023,100014,100_a_500_mil,11.513065455171143,22.15089887415762,12.93,58.35,375.57,22.33,22.97,4.88,0.651,0,TRUE,29.31521853529467,13.652776348144336,20.041021852224947,66.23,27.6,29.31521853529467,13.652776348144336,20.041021852224947,66.23,27.6,0,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,29.31521853529467,13.652776348144336,21.483997441719502,-15.662442187150333,37.95700728407498,0.3333333333333333,TRUE,TRUE,0.030061215531668215,1,13
2101509,MA,BARÃO DE GRAJAÚ,,17841,ate_20_mil,9.789254458374703,42.05481755506978,20.75,61.38,292.55,31.73,24.45,4.1,0.592,0,TRUE,17.810101393635122,14.636561267199076,6.095841833929217,7.97,11,17.810101393635122,14.636561267199076,6.095841833929217,7.97,11,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,17.810101393635122,14.636561267199076,16.2233313304171,-3.1735401264360465,8.35528061130974,0,TRUE,TRUE,0.010200368238576916,1,8
2101970,MA,BOA VISTA DO GURUPI,2024,7949,ate_20_mil,8.980801413573113,29.311863127437412,27.77,78.03,196.78,34.99,26.19,12.46,0.545,0,TRUE,43.33736394333251,34.46332021388674,8.94957478576993,13.76,10.8,43.33736394333251,34.46332021388674,8.94957478576993,13.76,10.8,1,1,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,43.33736394333251,34.46332021388674,38.900342078609626,-8.874043729445773,11.16985826192331,0,TRUE,TRUE,0.0024185274411536485,1,17
2103158,MA,CENTRO DO GUILHERME,2020,12565,ate_20_mil,9.438670449977693,43.716673298846,32.98,77.76,190.58,43.15,31.14,2.64,0.542,0,TRUE,34.99858379865663,32.12929548732018,31.501066785749728,27.879999999999995,29.6,34.99858379865663,32.12929548732018,31.501066785749728,27.879999999999995,29.6,1,1,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,34.99858379865663,32.12929548732018,33.5639396429884,-2.8692883113364545,29.660355595249907,0.3333333333333333,TRUE,TRUE,0.009254933794877527,1,12
2103752,MA,DAVINÓPOLIS,2016,12579,ate_20_mil,9.439784035838873,16.630892757770887,11.85,67.28,263.12,19.68,27.18,6.15,0.607,1,FALSE,28.724335185057125,15.674600330331268,17.83570725484565,15.12,13.700000000000001,28.724335185057125,15.674600330331268,17.83570725484565,15.12,13.700000000000001,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,28.724335185057125,15.674600330331268,22.199467757694197,-13.049734854725857,15.551902418281884,0,TRUE,TRUE,0.008577297492262192,1,8
2103901,MA,DUQUE BACELAR,2024,10649,ate_20_mil,9.273221270015384,49.85444642689455,41.83,81.63,163.87,52.34,35.1,5.69,0.533,0,TRUE,24.953243616287093,34.9721659557229,32.4729278227198,33.07,46.6,24.953243616287093,34.9721659557229,32.4729278227198,33.07,46.6,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,24.953243616287093,34.9721659557229,29.962704786005,10.018922339435807,37.3809759409066,1,TRUE,TRUE,0.009599256900999031,1,9
2104099,MA,FORMOSA DA SERRA NEGRA,2016,17757,ate_20_mil,9.784535083358834,66.68919299431211,45.61,82.86,163.15,55.73,20.43,8.32,0.556,1,FALSE,29.490748389228482,46.902909903332585,33.730960659985,31.04,35.9,29.490748389228482,46.902909903332585,33.730960659985,31.04,35.9,0,1,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,29.490748389228482,46.902909903332585,38.196829146280535,17.412161514104103,33.55698688666167,1,TRUE,TRUE,0.00780700291023199,1,9
2105609,MA,JOSELÂNDIA,2016,15433,ate_20_mil,9.64426335290083,61.381455323009135,33.6,73.89,221.23,59.02,36.41,3.77,0.561,1,FALSE,27.22553695068532,2.880833011955264,34.196349704955395,31.42,0,27.22553695068532,2.880833011955264,34.196349704955395,31.42,0,0,0,1,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,27.22553695068532,2.880833011955264,15.053184981320292,-24.344703938730056,21.872116568318464,0.6666666666666666,TRUE,TRUE,0.018334491226851553,1,10
2106359,MA,MARAJÁ DO SENA,2016,8051,ate_20_mil,8.993551586299981,85.61669357843746,60.72,91.57,96.25,75.62,43.53,5.36,0.452,1,FALSE,0,0,14.299220425303789,44.86,29.6,0,0,14.299220425303789,44.86,29.6,0,0,0,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,2016,0,0,0,0,29.586406808434596,0.3333333333333333,TRUE,TRUE,0.0046811684598321674,1,11
2106631,MA,MATÕES DO NORTE,2016,13794,ate_20_mil,9.531988993991236,66.0794548354357,41.86,89.23,133.33,57.48,36.56,6.79,0.533,1,FALSE,35.22771226336329,32.561412193532,20.09566508332559,27.16,52.2,35.22771226336329,32.561412193532,20.09566508332559,27.16,52.2,1,1,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,2016,35.22771226336329,32.561412193532,33.89456222844764,-2.666300069831287,33.15188836110853,0.3333333333333333,TRUE,TRUE,0.011704704879868109,1,12
