covariate,mean_abs_smd_before,mean_abs_smd_after,max_abs_smd_after,label
adult_illiteracy_pct_2010,0.24199305959035575,0.06969291804626944,0.11269816213219534,Analfabetismo adulto (%)
agricultural_employment_pct_2010,0.1990230783349282,0.04245369900709812,0.06210021858332504,Ocupação agropecuária (%)
extreme_poverty_pct_2010,0.1995373347539999,0.020193031674841395,0.03734098129978796,Extrema pobreza (%)
idhm_2010,0.165809507901862,0.09123611892974473,0.14479740046831838,IDHM
income_pc_2010,0.189932163434078,0.06077075240900152,0.10383636961017337,Renda per capita
log_population_2010,0.349285503635171,0.04058070820834648,0.07015701500298645,Log da população (2010)
pre_1,0.2033666788168902,0.1213361504685174,0.19971645615705005,PNAE: t - 1
pre_2,0.21163334614631385,0.030719232204478645,0.0712441363367968,PNAE: t - 2
pre_trend,0.11780675889117012,0.13715410817515092,0.26617496713848643,Tendência prévia do PNAE
public_sector_employment_pct_2010,0.2428005400103653,0.07385547102035905,0.1390742343369406,Ocupação no setor público (%)
rural_share_2010,0.1606821853717929,0.03980970753166111,0.09066111039389418,População rural (%)
